"Metabolite","Comparison","W","p_value","Higher"
"Path514","IL vs H",54,0.318585170382182,"H"
"Path515","IL vs H",126,0.00111458066768337,"IL"
"Path516","IL vs H",56,0.37768531105454,"H"
"Path517","IL vs H",54,0.318585170382182,"H"
"Path518","IL vs H",38,0.0518646113611789,"H"
"Path519","IL vs H",115,0.0120939768267807,"IL"
"Path520","IL vs H",84,0.166224591128354,"H"
"Path521","IL vs H",102,0.0164731558055827,"H"
"Path522","IL vs H",64,0.670659532955939,"H"
"Path523","IL vs H",83,0.551167166391288,"IL"
"Path524","IL vs H",105.5,0.023196844683544,"IL"
"Path525","IL vs H",53,0.291342659225281,"H"
"Path526","IL vs H",44,0.113502327528441,"H"
"Path527","IL vs H",90,0.318585170382182,"IL"
"Path528","IL vs H",59,0.447915427991793,"H"
"Path529","IL vs H",26,0.00681173719267675,"H"
"Path530","IL vs H",72,1,"IL"
"Path531","IL vs H",60,0.513722581093694,"H"
"Path532","IL vs H",58.5,0.247786834048584,"H"
"Path533","IL vs H",74,0.932300503373326,"H"
"Path534","IL vs H",75,0.88738593483512,"H"
"Path535","IL vs H",78,0.755284828242158,"IL"
"Path536","IL vs H",31,0.0184597223818781,"H"
